ID,CLASS,CRN,TREE,BRANCH,COURSE_CEILING,MAJOR,MAJOR2,SUBJ,NUMB,SEQ
4,JUNI,25219,2,7,15,PSY,AFR,EDU,340,0
4,JUNI,25219,3,4,15,PSY,AFR,EDU,340,0
4,JUNI,25219,3,7,15,PSY,AFR,EDU,340,0
4,JUNI,25219,4,2,15,PSY,AFR,EDU,340,0
4,JUNI,24227,4,3,12,PSY,AFR,ENG,494,0
4,JUNI,25349,1,4,30,PSY,AFR,GSS,340,0
4,JUNI,23277,3,1,3,PSY,AFR,PSY,302,B
4,JUNI,23279,2,1,2,PSY,AFR,PSY,302,D
4,JUNI,23444,1,1,11,PSY,AFR,PSY,315,B
4,JUNI,24192,4,4,32,PSY,AFR,PSY,276,0
4,JUNI,24786,1,2,6,PSY,AFR,PSY,353,B
4,JUNI,24786,2,2,6,PSY,AFR,PSY,353,B
4,JUNI,24786,3,2,6,PSY,AFR,PSY,353,B
4,JUNI,24975,1,5,6,PSY,AFR,PSY,354,B
4,JUNI,24975,2,5,6,PSY,AFR,PSY,354,B
4,JUNI,24975,3,5,6,PSY,AFR,PSY,354,B
4,JUNI,25288,1,7,20,PSY,AFR,SOC,373,0
4,JUNI,25288,4,1,20,PSY,AFR,SOC,373,0
5,SOPH,25346,1,5,15,XBUS,,AFR,300,0
5,SOPH,25346,4,3,15,XBUS,,AFR,300,0
5,SOPH,24596,1,1,16,XBUS,,BIO,108,A
5,SOPH,24597,2,1,16,XBUS,,BIO,108,B
5,SOPH,25306,1,2,30,XBUS,,ENG,382,0
5,SOPH,25306,3,1,30,XBUS,,ENG,382,0
5,SOPH,25282,1,4,30,XBUS,,POL,222,0
5,SOPH,25282,1,7,30,XBUS,,POL,222,0
5,SOPH,25282,2,5,30,XBUS,,POL,222,0
5,SOPH,25282,3,5,30,XBUS,,POL,222,0
5,SOPH,25282,4,1,30,XBUS,,POL,222,0
5,SOPH,25325,1,3,30,XBUS,,POL,330,0
5,SOPH,25325,1,6,30,XBUS,,POL,330,0
5,SOPH,25325,2,2,30,XBUS,,POL,330,0
5,SOPH,25325,3,2,30,XBUS,,POL,330,0
5,SOPH,24943,2,4,30,XBUS,,REL,143,0
5,SOPH,24943,2,7,30,XBUS,,REL,143,0
5,SOPH,24943,3,4,30,XBUS,,REL,143,0
5,SOPH,24943,3,7,30,XBUS,,REL,143,0
5,SOPH,24943,4,4,30,XBUS,,REL,143,0
5,SOPH,24990,2,3,30,XBUS,,REL,162,0
5,SOPH,24990,2,6,30,XBUS,,REL,162,0
5,SOPH,24990,3,3,30,XBUS,,REL,162,0
5,SOPH,24990,3,6,30,XBUS,,REL,162,0
5,SOPH,24990,4,2,30,XBUS,,REL,162,0
6,SOPH,25346,2,2,15,XPRE,,AFR,300,0
6,SOPH,25346,4,2,15,XPRE,,AFR,300,0
6,SOPH,20047,1,5,30,XPRE,,ECO,202,A
6,SOPH,20047,3,5,30,XPRE,,ECO,202,A
6,SOPH,23011,3,1,15,XPRE,,ECO,211,B
6,SOPH,24295,1,2,28,XPRE,,ECO,202,B
6,SOPH,24295,3,2,28,XPRE,,ECO,202,B
6,SOPH,24518,1,1,15,XPRE,,ECO,211,C
6,SOPH,24602,2,1,14,XPRE,,ENG,202,0
6,SOPH,24602,4,1,14,XPRE,,ENG,202,0
6,SOPH,20302,1,4,18,XPRE,,SPA,201,A
6,SOPH,20302,1,7,18,XPRE,,SPA,201,A
6,SOPH,20302,2,5,18,XPRE,,SPA,201,A
6,SOPH,20303,3,3,18,XPRE,,SPA,201,B
6,SOPH,20303,3,6,18,XPRE,,SPA,201,B
6,SOPH,20304,1,3,18,XPRE,,SPA,201,C
6,SOPH,20304,1,6,18,XPRE,,SPA,201,C
